Ranking,Name,Rating
8.1,In the Name of the Father,8.1
8.1,The Deer Hunter,8.1
8.1,Hacksaw Ridge,8.1
8.1,The Third Man,8.1
8.1,The Wages of Fear,8.1
8.1,Memories of Murder,8.1
8.1,Sherlock Jr.,8.1
8.1,Wild Tales,8.1
8.1,Mr. Smith Goes to Washington,8.1
8.1,Mad Max: Fury Road,8.1
8.1,Mary and Max,8.1
8.1,Dead Poets Society,8.1
8.1,How to Train Your Dragon,8.1
8.1,Monsters Inc.,8.1
8.1,The Seventh Seal,8.1
8.1,Jaws,8.1
8.1,Room,8.1
8.1,The Big Lebowski,8.1
8.1,Tokyo Story,8.1
8.1,Ford v Ferrari,8.1
8.0,The Passion of Joan of Arc,8.0
8.0,Hotel Rwanda,8.0
8.0,Ratatouille,8.0
8.0,Rocky,8.0
8.0,Platoon,8.0
8.0,Logan,8.0
8.0,Spotlight,8.0
8.0,The Terminator,8.0
8.0,Jai Bhim,8.0
8.0,Rush,8.0
8.0,Before Sunset,8.0
8.0,Stand by Me,8.0
8.0,Network,8.0
8.0,Into the Wild,8.0
8.0,The Wizard of Oz,8.0
8.0,The Best Years of Our Lives,8.0
8.0,La haine,8.0
8.0,The Exorcist,8.0
8.0,The Incredibles,8.0
8.0,To Be or Not to Be,8.0
8.0,Pirates of the Caribbean: The Curse of the Black Pearl,8.0
8.0,Groundhog Day,8.0
8.0,My Father and My Son,8.0
8.0,The Battle of Algiers,8.0
8.0,The Grapes of Wrath,8.0
8.0,Hachi: A Dog's Tale,8.0
8.0,Pather Panchali,8.0
8.0,The Handmaiden,8.0
8.0,Amores Perros,8.0
8.0,Rebecca,8.0
8.0,Cool Hand Luke,8.0
8.0,The Sound of Music,8.0
8.0,It Happened One Night,8.0
8.0,The 400 Blows,8.0
8.0,Persona,8.0
8.0,The Iron Giant,8.0
8.0,The Help,8.0
8.0,Life of Brian,8.0
8.0,Aladdin,8.0
8.0,Dances with Wolves,8.0
